,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,learning_rate,max_features,n_estimators,n_neighbors,priors,weights
61,SVC,0.9128205128205128,0.9299195682690033,0.9429280397022333,0.01262709921617813,100,0.001,rbf,,,,,,
54,SVC,0.9130434782608695,0.9233288395882925,0.9394673123486682,0.011554189342969907,10,0.001,rbf,,,,,,
67,SVC,0.905852417302799,0.9272175358496112,0.9381443298969072,0.015108736292054772,1000,0.01,rbf,,,,,,
74,SVC,0.905852417302799,0.9272175358496112,0.9381443298969072,0.015108736292054772,10000.0,0.01,rbf,,,,,,
60,SVC,0.905852417302799,0.9272175358496112,0.9381443298969072,0.015108736292054772,100,0.01,rbf,,,,,,
53,SVC,0.905852417302799,0.9272175358496112,0.9381443298969072,0.015108736292054772,10,0.01,rbf,,,,,,
46,SVC,0.9004975124378108,0.9241533140433346,0.9376558603491272,0.016782970530883307,1,0.01,rbf,,,,,,
68,SVC,0.9104859335038363,0.9264986952627,0.9349999999999999,0.011329941276243346,1000,0.001,rbf,,,,,,
75,SVC,0.9104859335038363,0.9264986952627,0.9349999999999999,0.011329941276243346,10000.0,0.001,rbf,,,,,,
69,SVC,0.9081885856079404,0.9172856014842585,0.9290953545232273,0.008748045640961625,1000,0.0001,rbf,,,,,,
27,SVC,0.9026128266033253,0.913524125967041,0.9227053140096618,0.008293450284450696,100,0.0001,poly,,,,,,
77,SVC,0.906801007556675,0.9112554375942833,0.9178743961352657,0.004772761002784771,10000.0,1e-05,rbf,,,,,,
76,SVC,0.8967254408060453,0.9059463385260522,0.9170731707317074,0.008415539910570521,10000.0,0.0001,rbf,,,,,,
34,SVC,0.8972431077694236,0.90443539249701,0.9170731707317074,0.008964667642994365,1000,0.0001,poly,,,,,,
12,SVC,0.8944723618090452,0.9035118105102171,0.9170731707317074,0.00976507053525851,1,0.001,poly,,,,,,
0,LR,0.9030732860520095,0.9071844432639194,0.9152542372881357,0.00570654579192653,1,,,,,,,,
70,SVC,0.8857142857142858,0.8951638299661666,0.9129411764705883,0.012578821164480536,1000,1e-05,rbf,,,,,,
78,SVC,0.8847926267281105,0.8944826963043283,0.9129411764705883,0.013057538853292413,10000.0,1e-06,rbf,,,,,,
62,SVC,0.8942307692307692,0.9006192648234972,0.909952606635071,0.00674774689711637,100,0.0001,rbf,,,,,,
26,SVC,0.8944723618090452,0.90082832383073,0.9095354523227385,0.006370251789074492,100,0.001,poly,,,,,,
11,SVC,0.8944723618090452,0.90082832383073,0.9095354523227385,0.006370251789074492,1,0.01,poly,,,,,,
40,SVC,0.8944723618090452,0.90082832383073,0.9095354523227385,0.006370251789074492,10000.0,0.001,poly,,,,,,
39,SVC,0.8944723618090452,0.90082832383073,0.9095354523227385,0.006370251789074492,10000.0,0.01,poly,,,,,,
33,SVC,0.8944723618090452,0.90082832383073,0.9095354523227385,0.006370251789074492,1000,0.001,poly,,,,,,
32,SVC,0.8944723618090452,0.90082832383073,0.9095354523227385,0.006370251789074492,1000,0.01,poly,,,,,,
41,SVC,0.8944723618090452,0.90082832383073,0.9095354523227385,0.006370251789074492,10000.0,0.0001,poly,,,,,,
25,SVC,0.8944723618090452,0.90082832383073,0.9095354523227385,0.006370251789074492,100,0.01,poly,,,,,,
18,SVC,0.8944723618090452,0.90082832383073,0.9095354523227385,0.006370251789074492,10,0.01,poly,,,,,,
19,SVC,0.8944723618090452,0.90082832383073,0.9095354523227385,0.006370251789074492,10,0.001,poly,,,,,,
1,LR,0.8953771289537713,0.9000292955110457,0.9052132701421801,0.004033157013237894,10,,,,,,,,
2,LR,0.8866995073891626,0.8919695704344903,0.894736842105263,0.0037280612327829183,100,,,,,,,,
20,SVC,0.8406466512702078,0.8525733725425994,0.8707482993197279,0.013059029005413966,10,0.0001,poly,,,,,,
42,SVC,0.8406466512702078,0.8525733725425994,0.8707482993197279,0.013059029005413966,10000.0,1e-05,poly,,,,,,
47,SVC,0.8044444444444445,0.8233350040919426,0.8425720620842572,0.015567462917875828,1,0.001,rbf,,,,,,
55,SVC,0.7685589519650655,0.8049718674436903,0.8381374722838137,0.028497969427356384,10,0.0001,rbf,,,,,,
105,GB,0.7749287749287749,0.8069767580400002,0.834733893557423,0.024603137785678204,,,,0.1,,100,,,
4,NN,0.7944444444444444,0.8202181703186224,0.8342541436464088,0.0182489116345416,,,,,,,5,,distance
3,NN,0.7944444444444444,0.8202181703186224,0.8342541436464088,0.0182489116345416,,,,,,,5,,uniform
63,SVC,0.7702407002188184,0.7994401682379436,0.8253275109170306,0.022610717354479757,100,1e-05,rbf,,,,,,
79,SVC,0.7685589519650655,0.7982802191025843,0.823529411764706,0.022663295586051263,10000.0,1e-07,rbf,,,,,,
71,SVC,0.7685589519650655,0.7982802191025843,0.823529411764706,0.022663295586051263,1000,1e-06,rbf,,,,,,
6,NN,0.7638483965014577,0.7921170241959828,0.8148148148148147,0.021176553358466375,,,,,,,10,,distance
93,GB,0.7674418604651163,0.7929255081282554,0.8101983002832861,0.01839550484244212,,,,0.1,sqrt,100,,,
104,GB,0.7374631268436578,0.7768357634976697,0.8034188034188035,0.028404438110543426,,,,0.1,,50,,,
153,BAG,0.7235294117647059,0.7509826267052797,0.7851002865329513,0.025574131124655536,,,,,0.9,25,,,
103,GB,0.738095238095238,0.7664831824202549,0.7848837209302325,0.020365031102126233,,,,0.1,,40,,,
167,BAG,0.7002967359050445,0.7308869299871502,0.7683284457478006,0.028193188806156854,,,,,0.5,25,,,
159,BAG,0.7048192771084337,0.7304130980723579,0.7678571428571429,0.027064909421505478,,,,,0.8,20,,,
156,BAG,0.7142857142857142,0.746031746031746,0.7678571428571429,0.02296793036267906,,,,,0.9,100,,,
5,NN,0.7289156626506024,0.7482091471699341,0.7664670658682634,0.015347774395246204,,,,,,,10,,uniform
151,BAG,0.7435158501440923,0.7508935426580466,0.764179104477612,0.00941345525341485,,,,,0.9,15,,,
154,BAG,0.7030303030303029,0.7273797636535816,0.7573964497041421,0.02255375148503493,,,,,0.9,30,,,
163,BAG,0.7142857142857142,0.7386000751385365,0.7559523809523808,0.017708386629920084,,,,,0.8,100,,,
162,BAG,0.7234042553191489,0.7421193890410472,0.7537091988130563,0.013358519905173654,,,,,0.8,60,,,
169,BAG,0.7217125382262995,0.7318879608075828,0.7522388059701492,0.014390220617328196,,,,,0.5,60,,,
170,BAG,0.7349397590361446,0.7442411890892379,0.7515151515151515,0.006917074414939987,,,,,0.5,100,,,
158,BAG,0.7315634218289087,0.7436229329087528,0.7514792899408284,0.008656801896959452,,,,,0.8,15,,,
155,BAG,0.7261904761904763,0.7354509972157031,0.7507507507507507,0.010898196138192566,,,,,0.9,60,,,
160,BAG,0.7343283582089553,0.7425923138645798,0.7492625368731564,0.006200129617261785,,,,,0.8,25,,,
