,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,learning_rate,max_features,n_estimators,n_neighbors,priors,weights
53,SVC,0.9104859335038363,0.9274592342778137,0.9405940594059405,0.012587698566380324,10,0.01,rbf,,,,,,
61,SVC,0.9037037037037037,0.9277236720174574,0.9400000000000001,0.016986074637356467,100,0.001,rbf,,,,,,
67,SVC,0.9076923076923078,0.9223011468271256,0.9330024813895781,0.010695876686330753,1000,0.01,rbf,,,,,,
74,SVC,0.9076923076923078,0.9223011468271256,0.9330024813895781,0.010695876686330753,10000.0,0.01,rbf,,,,,,
60,SVC,0.9076923076923078,0.9223011468271256,0.9330024813895781,0.010695876686330753,100,0.01,rbf,,,,,,
68,SVC,0.898989898989899,0.9170111595201336,0.9316455696202531,0.013545018099077885,1000,0.001,rbf,,,,,,
75,SVC,0.898989898989899,0.9170111595201336,0.9316455696202531,0.013545018099077885,10000.0,0.001,rbf,,,,,,
46,SVC,0.8992628992628993,0.9165143371025725,0.926470588235294,0.01224688794814433,1,0.01,rbf,,,,,,
54,SVC,0.8883610451306414,0.9033190964206989,0.9107981220657276,0.010576939500535834,10,0.001,rbf,,,,,,
19,SVC,0.8564231738035265,0.8801235908613504,0.908641975308642,0.021588738036024617,10,0.001,poly,,,,,,
41,SVC,0.8564231738035265,0.8801235908613504,0.908641975308642,0.021588738036024617,10000.0,0.0001,poly,,,,,,
12,SVC,0.8872901678657075,0.897529505807119,0.906474820143885,0.007885370148812753,1,0.001,poly,,,,,,
34,SVC,0.8872901678657075,0.897529505807119,0.906474820143885,0.007885370148812753,1000,0.0001,poly,,,,,,
69,SVC,0.882494004796163,0.8941726051782687,0.9016786570743406,0.00836940226499176,1000,0.0001,rbf,,,,,,
76,SVC,0.8542713567839196,0.8753410183354021,0.8970588235294118,0.017473921430904985,10000.0,0.0001,rbf,,,,,,
77,SVC,0.8820754716981133,0.8836557758352855,0.8857142857142858,0.001523538077351782,10000.0,1e-05,rbf,,,,,,
25,SVC,0.8506329113924052,0.8690594443086749,0.8833746898263026,0.013679255018927592,100,0.01,poly,,,,,,
11,SVC,0.8506329113924052,0.8690594443086749,0.8833746898263026,0.013679255018927592,1,0.01,poly,,,,,,
40,SVC,0.8506329113924052,0.8690594443086749,0.8833746898263026,0.013679255018927592,10000.0,0.001,poly,,,,,,
39,SVC,0.8506329113924052,0.8690594443086749,0.8833746898263026,0.013679255018927592,10000.0,0.01,poly,,,,,,
18,SVC,0.8506329113924052,0.8690594443086749,0.8833746898263026,0.013679255018927592,10,0.01,poly,,,,,,
33,SVC,0.8506329113924052,0.8690594443086749,0.8833746898263026,0.013679255018927592,1000,0.001,poly,,,,,,
32,SVC,0.8506329113924052,0.8690594443086749,0.8833746898263026,0.013679255018927592,1000,0.01,poly,,,,,,
26,SVC,0.8506329113924052,0.8690594443086749,0.8833746898263026,0.013679255018927592,100,0.001,poly,,,,,,
0,LR,0.8672985781990521,0.8749758953934244,0.8826291079812207,0.006258685784546868,1,,,,,,,,
27,SVC,0.8616071428571428,0.8656857400362018,0.8729792147806005,0.005169305774032318,100,0.0001,poly,,,,,,
62,SVC,0.8584070796460177,0.8652907585783431,0.8729792147806005,0.005976204505413377,100,0.0001,rbf,,,,,,
1,LR,0.8605769230769231,0.8649489668907145,0.8701923076923077,0.003973518521089172,10,,,,,,,,
70,SVC,0.8483516483516483,0.8575086263254263,0.8683602771362587,0.008255916806693742,1000,1e-05,rbf,,,,,,
78,SVC,0.8439560439560438,0.8560434248602249,0.8683602771362587,0.009964307706725052,10000.0,1e-06,rbf,,,,,,
2,LR,0.8395061728395061,0.8531021322957676,0.8605769230769231,0.009629664526996004,100,,,,,,,,
105,GB,0.7988668555240794,0.8239530842560269,0.8423913043478262,0.018380087513617367,,,,0.1,,100,,,
3,NN,0.7845303867403315,0.8207014508542114,0.8401084010840107,0.025599551497833845,,,,,,,5,,uniform
4,NN,0.7845303867403315,0.8207014508542114,0.8401084010840107,0.025599551497833845,,,,,,,5,,distance
6,NN,0.7840909090909092,0.8127404712505966,0.8306010928961749,0.02046297839941913,,,,,,,10,,distance
104,GB,0.7669616519174041,0.7916131423475775,0.8112676056338028,0.018429724068976777,,,,0.1,,50,,,
